团队名称,性别,平均速度,中位数,方差
东北大学-一二九战队,女,17分 4.435秒,17分 4.435秒,619.1680499999999
东北大学-一二九战队,男,13分 47.842秒,13分 52.270秒,553.2765071428583
东北大学-一二九战队二队,女,18分 36.740秒,18分 36.740秒,15.792199999999387
东北大学-一二九战队二队,男,14分 47.062秒,14分 42.600秒,512.8781071428588
东北林业大学-東木林森队,女,18分 26.980秒,18分 26.980秒,6867.919999999978
东北林业大学-東木林森队,男,14分 20.635秒,14分 12.805秒,1654.9989428571437
东北电力大学-东风逐电,女,20分 56.070秒,20分 56.070秒,30381.125
东北电力大学-东风逐电,男,13分 52.796秒,13分 53.075秒,540.3655982142889
吉林大学-芝士雪豹二队,女,19分 2.173秒,19分 3.620秒,14.457733333334156
吉林大学-芝士雪豹二队,男,15分 35.174秒,15分 4.560秒,6336.725995238104
吉林大学-芝士雪豹队,女,16分 44.685秒,16分 44.685秒,0.018049999999999566
吉林大学-芝士雪豹队,男,13分 51.289秒,13分 43.640秒,312.10532678571604
吉林师范大学-吉师逐风,女,20分 23.057秒,20分 46.020秒,2625.6866333333364
吉林师范大学-吉师逐风,男,17分 9.354秒,17分 32.160秒,4188.986395238097
哈尔滨医科大学-哈医大跑团,女,20分 29.220秒,19分 52.090秒,20640.978299999988
哈尔滨医科大学-哈医大跑团,男,16分 13.903秒,15分 51.350秒,16702.39365714285
哈尔滨工业大学-过程淘汰二队,女,18分 23.210秒,18分 23.210秒,463.29680000000167
哈尔滨工业大学-过程淘汰二队,男,15分 18.265秒,15分 10.890秒,3977.322142857134
哈尔滨工业大学-过程淘汰队,女,16分 7.235秒,16分 7.235秒,194.63645000000037
哈尔滨工业大学-过程淘汰队,男,13分 32.674秒,13分 37.400秒,239.65076964285626
哈尔滨工程大学-蓝疆守望,女,18分 11.140秒,18分 11.140秒,11241.0018
哈尔滨工程大学-蓝疆守望,男,14分 1.795秒,13分 58.875秒,388.8400857142851
大连交通大学-大铁青年队,女,18分 9.080秒,18分 9.080秒,1266.0512000000026
大连交通大学-大铁青年队,男,13分 36.236秒,13分 31.385秒,484.923998214285
大连理工大学-追梦玉兰长跑协会,女,16分 23.600秒,16分 23.600秒,744.9800000000031
大连理工大学-追梦玉兰长跑协会,男,13分 45.059秒,13分 45.055秒,935.6772696428562
天津大学-北洋1895,女,16分 46.190秒,16分 46.190秒,14.151199999999964
天津大学-北洋1895,男,13分 36.525秒,13分 42.645秒,805.3007428571424
沈阳农业大学-沈农最速跑团,女,17分 52.510秒,17分 52.510秒,6065.409799999986
沈阳农业大学-沈农最速跑团,男,14分 44.793秒,14分 23.255秒,8706.849678571429
沈阳化工大学-AWESOME锕铯钼战队,女,20分 2.780秒,20分 2.780秒,2590.5602000000013
沈阳化工大学-AWESOME锕铯钼战队,男,14分 27.352秒,14分 53.055秒,3265.963964285717
沈阳建筑大学-圣剑跑团,女,18分 47.745秒,18分 47.745秒,1365.03125
沈阳建筑大学-圣剑跑团,男,13分 55.760秒,14分 1.700秒,2050.402085714287
沈阳药科大学-我就是药神,女,17分 15.355秒,17分 15.355秒,33.04845000000089
沈阳药科大学-我就是药神,男,14分 9.327秒,14分 11.005秒,914.3347928571404
沈阳药科大学-我就是药神二队,女,17分 59.460秒,17分 59.460秒,345.3191999999963
沈阳药科大学-我就是药神二队,男,15分 6.114秒,15分 15.545秒,2055.576998214282
河北农业大学-太行之鹰,女,16分 6.715秒,16分 6.715秒,283.45805000000274
河北农业大学-太行之鹰,男,14分 16.191秒,14分 18.740秒,247.35118392857046
营口理工学院-营理跑男团,女,20分 22.380秒,20分 22.380秒,3384.9991999999884
营口理工学院-营理跑男团,男,15分 2.174秒,15分 2.165秒,5951.674712499994
辽宁大学-天辽地大,女,18分 58.250秒,18分 58.250秒,1181.9521999999947
辽宁大学-天辽地大,男,14分 41.214秒,15分 1.575秒,2024.5408267857163
辽宁科技大学-不吃辣堡队,女,18分 18.310秒,18分 18.310秒,50.60179999999945
辽宁科技大学-不吃辣堡队,男,14分 41.418秒,14分 41.710秒,2895.2697071428547
辽宁科技学院-逐风者跑团,女,21分 47.005秒,21分 47.005秒,31875.60004999997
辽宁科技学院-逐风者跑团,男,14分 43.737秒,14分 43.040秒,2230.3174499999986
